出発日,出発曜日,旅作最低金額,検索日,発方面,着方面,発空港,着空港,旅作往路経由地情報,旅作復路経由地情報,旅作往路便番号,旅作復路便番号,旅作往路出発時刻,旅作復路出発時刻,旅作プラン名,旅作部屋タイプ,旅作食事条件,都道府県,地区,施設名,宿泊形態,利用人数
20251231,水,61000,20251121,関西,九州,伊丹,福岡,,,0429,0420,2005,0710,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20260101,木,58200,20251121,関西,九州,伊丹,福岡,,,0421,0420,0810,0710,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20260101,木,57500,20251121,関西,九州,伊丹,福岡,,,0421,0420,0810,0710,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20260102,金,62100,20251121,関西,九州,伊丹,福岡,,,0421,0420,0810,0710,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20260102,金,お探しの宿泊施設は見つかりませんでした。,20251121,関西,九州,伊丹,福岡,,,,,,,-,,,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20260103,土,53900,20251121,関西,九州,伊丹,福岡,,,0421,0420,0810,0710,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20260103,土,お探しの宿泊施設は見つかりませんでした。,20251121,関西,九州,伊丹,福岡,,,,,,,-,,,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20260104,日,49400,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20260104,日,46500,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20260105,月,42500,20251121,関西,九州,伊丹,福岡,,,0427,0424,1705,1050,地下鉄「中洲川端駅」より徒歩２分、博多駅や天神、イベント会場へのアクセスに便利なホテル【素泊り】,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20260105,月,34300,20251121,関西,九州,伊丹,福岡,,,0427,0424,1705,1050,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20260106,火,43900,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20260106,火,43800,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,地下鉄「中洲川端駅」より徒歩２分、博多駅や天神、イベント会場へのアクセスに便利なホテル【素泊り】,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20260107,水,61600,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,地下鉄「中洲川端駅」より徒歩２分、博多駅や天神、イベント会場へのアクセスに便利なホテル【素泊り】,ツイン,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20260107,水,43900,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20260108,木,61600,20251121,関西,九州,伊丹,福岡,,,0421,0420,0810,0710,地下鉄「中洲川端駅」より徒歩２分、博多駅や天神、イベント会場へのアクセスに便利なホテル【素泊り】,ツイン,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20260108,木,45700,20251121,関西,九州,伊丹,福岡,,,0421,0420,0810,0710,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20260109,金,52500,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,地下鉄「中洲川端駅」より徒歩２分、博多駅や天神、イベント会場へのアクセスに便利なホテル【素泊り】,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
